ID,Data,Ano,Rodada,Equipe_mandante,Equipe_visitante,Gols_mandante,Gols_visitante,Mandante_UF,Visitante_UF,Vencedor,Arena,OBS
2003.01.0001,29/03/2003,2003,1,Guarani,Vasco,4,2,SP,RJ,Mandante,Brinco de Ouro,
2003.01.0002,29/03/2003,2003,1,Athletico-PR,Grêmio,2,0,PR,RS,Mandante,Arena da Baixada,
2003.01.0003,30/03/2003,2003,1,Flamengo,Coritiba,1,1,RJ,PR,Empate,Maracanã,
2003.01.0004,30/03/2003,2003,1,Goiás,Paysandu,2,2,GO,PA,Empate,Serra Dourada,
2003.01.0005,30/03/2003,2003,1,Internacional,Ponte Preta,1,1,RS,SP,Empate,Beira-Rio,
2003.01.0006,30/03/2003,2003,1,Criciúma,Fluminense,2,0,SC,RJ,Mandante,Heriberto Hulse,
2003.01.0007,30/03/2003,2003,1,Juventude,São Paulo,2,2,RS,SP,Empate,Alfredo Jaconi,
2003.01.0008,30/03/2003,2003,1,Fortaleza,Bahia,0,0,CE,BH,Empate,Castelão,
2003.01.0009,30/03/2003,2003,1,Cruzeiro,São Caetano,2,2,MG,SP,Empate,Mineirão,
2003.01.0010,30/03/2003,2003,1,Vitória,Figueirense,1,1,ES,SC,Empate,Barradão,
2003.01.0011,30/03/2003,2003,1,Santos,Paraná,2,2,SP,PR,Empate,Vila Belmiro,
2003.01.0012,30/03/2003,2003,1,Corinthians,Atlético-MG,0,3,SP,MG,Visitante,Pacaembu,
2003.02.0013,05/04/2003,2003,2,Fluminense,Fortaleza,1,1,RJ,CE,Empate,Maracanã,
2003.02.0014,05/04/2003,2003,2,Atlético-MG,Santos,0,0,MG,SP,Empate,Mineirão,
2003.02.0015,05/04/2003,2003,2,Coritiba,Internacional,0,1,PR,RS,Visitante,Couto Pereira,
2003.02.0016,05/04/2003,2003,2,Grêmio,Guarani,3,1,RS,SP,Mandante,Olímpico,
2003.02.0017,06/04/2003,2003,2,Bahia,Flamengo,1,2,BH,RJ,Visitante,Fonte Nova,
2003.02.0018,06/04/2003,2003,2,Figueirense,Corinthians,3,3,SC,SP,Empate,Orlando Scarpelli,
2003.02.0019,06/04/2003,2003,2,Paysandu,Vitória,1,2,PA,BA,Visitante,Mangueirão,
2003.02.0020,06/04/2003,2003,2,Ponte Preta,Juventude,1,0,SP,RS,Mandante,Moisés Lucarelli,
2003.02.0021,06/04/2003,2003,2,Paraná,Athletico-PR,3,0,PR,PR,Mandante,Pinheirão,
2003.02.0022,06/04/2003,2003,2,São Caetano,Criciúma,3,2,SP,SC,Mandante,Anacleto Campanella,
2003.02.0023,06/04/2003,2003,2,São Paulo,Cruzeiro,2,4,SP,MG,Visitante,Morumbi,
2003.02.0024,06/04/2003,2003,2,Vasco,Goiás,6,4,RJ,GO,Mandante,São Januário,
2003.04.0025,09/04/2003,2003,4,Paysandu,Santos,2,1,PA,SP,Mandante,Mangueirão,
2003.03.0026,12/04/2003,2003,3,Internacional,Bahia,2,0,RS,BH,Mandante,Beira-Rio,
2003.03.0027,12/04/2003,2003,3,Santos,Figueirense,2,0,SP,SC,Mandante,Vila Belmiro,
2003.03.0028,12/04/2003,2003,3,Athletico-PR,Atlético-MG,1,2,PR,MG,Visitante,Arena da Baixada,
2003.03.0029,12/04/2003,2003,3,Corinthians,Paysandu,6,1,SP,PA,Mandante,Pacaembu,
2003.03.0030,13/04/2003,2003,3,Vitória,Vasco,2,1,ES,RJ,Mandante,Barradão,
2003.03.0031,13/04/2003,2003,3,Criciúma,São Paulo,1,1,SC,SP,Empate,Heriberto Hulse,
2003.03.0032,13/04/2003,2003,3,Fortaleza,São Caetano,1,1,CE,SP,Empate,Presidente Vargas,
2003.03.0033,13/04/2003,2003,3,Juventude,Coritiba,2,1,RS,PR,Mandante,Alfredo Jaconi,
2003.03.0034,13/04/2003,2003,3,Guarani,Paraná,2,0,SP,PR,Mandante,Brinco de Ouro,
2003.03.0035,13/04/2003,2003,3,Goiás,Grêmio,1,1,GO,RS,Empate,Serra Dourada,
2003.03.0036,13/04/2003,2003,3,Cruzeiro,Ponte Preta,3,0,MG,SP,Mandante,Mineirão,
2003.03.0037,13/04/2003,2003,3,Flamengo,Fluminense,4,1,RJ,RJ,Mandante,Maracanã,
2003.04.0038,16/04/2003,2003,4,Bahia,Juventude,3,1,BH,RS,Mandante,Fonte Nova,
2003.04.0039,16/04/2003,2003,4,Grêmio,Vitória,2,1,RS,BA,Mandante,Olímpico,
2003.04.0040,16/04/2003,2003,4,Atlético-MG,Guarani,3,2,MG,SP,Mandante,Mineirão,
2003.04.0041,16/04/2003,2003,4,Figueirense,Athletico-PR,1,1,SC,PR,Empate,Orlando Scarpelli,
2003.04.0042,16/04/2003,2003,4,Ponte Preta,Criciúma,1,1,SP,SC,Empate,Moisés Lucarelli,
2003.04.0043,16/04/2003,2003,4,São Caetano,Flamengo,1,1,SP,RJ,Empate,Anacleto Campanella,
2003.04.0044,16/04/2003,2003,4,Vasco,Corinthians,2,2,RJ,SP,Empate,São Januário,
2003.04.0045,16/04/2003,2003,4,Coritiba,Cruzeiro,3,4,PR,MG,Visitante,Couto Pereira,
2003.04.0046,17/04/2003,2003,4,Fluminense,Internacional,3,1,RJ,RS,Mandante,Maracanã,
2003.04.0047,17/04/2003,2003,4,São Paulo,Fortaleza,3,1,SP,CE,Mandante,Morumbi,
2003.04.0048,17/04/2003,2003,4,Paraná,Goiás,3,1,PR,GO,Mandante,Pinheirão,
2003.05.0049,19/04/2003,2003,5,Bahia,Atlético-MG,2,4,BH,MG,Visitante,Fonte Nova,
2003.05.0050,19/04/2003,2003,5,São Caetano,Grêmio,1,1,SP,RS,Empate,Anacleto Campanella,
2003.05.0051,19/04/2003,2003,5,Flamengo,Santos,0,2,RJ,SP,Visitante,Maracanã,
2003.05.0052,20/04/2003,2003,5,São Paulo,Vasco,3,1,SP,RJ,Mandante,Morumbi,
2003.05.0053,20/04/2003,2003,5,Internacional,Corinthians,2,1,RS,SP,Mandante,Beira-Rio,
2003.05.0054,20/04/2003,2003,5,Criciúma,Guarani,1,0,SC,SP,Mandante,Heriberto Hulse,
2003.05.0055,20/04/2003,2003,5,Juventude,Vitória,1,1,RS,BA,Empate,Alfredo Jaconi,
2003.05.0056,20/04/2003,2003,5,Fortaleza,Athletico-PR,1,0,CE,PR,Mandante,Presidente Vargas,
2003.05.0057,20/04/2003,2003,5,Ponte Preta,Paysandu,4,4,SP,PA,Empate,Moisés Lucarelli,
2003.05.0058,20/04/2003,2003,5,Cruzeiro,Goiás,4,1,MG,GO,Mandante,Mineirão,
2003.05.0059,20/04/2003,2003,5,Fluminense,Paraná,0,0,RJ,PR,Empate,Maracanã,
2003.05.0060,21/04/2003,2003,5,Coritiba,Figueirense,1,0,PR,SC,Mandante,Couto Pereira,
2003.06.0061,26/04/2003,2003,6,Atlético-MG,Coritiba,1,2,MG,PR,Visitante,Mineirão,
2003.06.0062,26/04/2003,2003,6,Paraná,Bahia,3,1,PR,BH,Mandante,Pinheirão,
2003.06.0063,26/04/2003,2003,6,Vitória,Internacional,0,3,ES,RS,Visitante,Barradão,
2003.06.0064,26/04/2003,2003,6,Guarani,Cruzeiro,1,1,SP,MG,Empate,Brinco de Ouro,
2003.06.0065,27/04/2003,2003,6,Corinthians,Flamengo,1,1,SP,RJ,Empate,Pacaembu,
2003.06.0066,27/04/2003,2003,6,Goiás,Juventude,7,0,GO,RS,Mandante,Serra Dourada,
2003.06.0067,27/04/2003,2003,6,Figueirense,Ponte Preta,0,0,SC,SP,Empate,Orlando Scarpelli,
2003.06.0068,27/04/2003,2003,6,Santos,Fortaleza,4,0,SP,CE,Mandante,Vila Belmiro,
2003.06.0069,27/04/2003,2003,6,Grêmio,Fluminense,0,1,RS,RJ,Visitante,Olímpico,
2003.06.0070,27/04/2003,2003,6,Athletico-PR,Criciúma,5,2,PR,SC,Mandante,Arena da Baixada,
2003.06.0071,27/04/2003,2003,6,Paysandu,São Paulo,5,2,PA,SP,Mandante,Mangueirão,
2003.06.0072,27/04/2003,2003,6,Vasco,São Caetano,1,0,RJ,SP,Mandante,São Januário,
2003.07.0073,03/05/2003,2003,7,Flamengo,Vitória,2,1,RJ,BA,Mandante,Maracanã,
2003.07.0074,03/05/2003,2003,7,Bahia,Grêmio,2,1,BH,RS,Mandante,Fonte Nova,
2003.07.0075,03/05/2003,2003,7,Cruzeiro,Athletico-PR,5,2,MG,PR,Mandante,Mineirão,
2003.07.0076,04/05/2003,2003,7,Fortaleza,Corinthians,1,2,CE,SP,Visitante,Castelão,
2003.07.0077,04/05/2003,2003,7,São Paulo,Figueirense,3,2,SP,SC,Mandante,Morumbi,
2003.07.0078,04/05/2003,2003,7,São Caetano,Paysandu,2,0,SP,PA,Mandante,Anacleto Campanella,
2003.07.0079,04/05/2003,2003,7,Internacional,Goiás,2,1,RS,GO,Mandante,Beira-Rio,
2003.07.0080,04/05/2003,2003,7,Ponte Preta,Atlético-MG,2,1,SP,MG,Mandante,Moisés Lucarelli,
2003.07.0081,04/05/2003,2003,7,Juventude,Guarani,1,1,RS,SP,Empate,Alfredo Jaconi,
2003.07.0082,04/05/2003,2003,7,Coritiba,Paraná,2,1,PR,PR,Mandante,Couto Pereira,
2003.07.0083,04/05/2003,2003,7,Criciúma,Santos,1,3,SC,SP,Visitante,Heriberto Hulse,
2003.07.0084,04/05/2003,2003,7,Fluminense,Vasco,0,0,RJ,RJ,Empate,Maracanã,
2003.08.0085,10/05/2003,2003,8,Goiás,Flamengo,1,1,GO,RJ,Empate,Serra Dourada,
2003.08.0086,10/05/2003,2003,8,Santos,Cruzeiro,0,2,SP,MG,Visitante,Vila Belmiro,
2003.08.0087,10/05/2003,2003,8,Paraná,Ponte Preta,3,2,PR,SP,Mandante,Pinheirão,
2003.08.0088,10/05/2003,2003,8,Corinthians,Criciúma,3,0,SP,SC,Mandante,Pacaembu,
2003.08.0089,11/05/2003,2003,8,Vasco,Bahia,1,1,RJ,BH,Empate,São Januário,
2003.08.0090,11/05/2003,2003,8,Paysandu,Fluminense,2,2,PA,RJ,Empate,Mangueirão,
2003.08.0091,11/05/2003,2003,8,Atlético-MG,São Paulo,2,2,MG,SP,Empate,Mineirão,
2003.08.0092,11/05/2003,2003,8,Vitória,Fortaleza,2,1,ES,CE,Mandante,Barradão,
2003.08.0093,11/05/2003,2003,8,Guarani,Internacional,3,0,SP,RS,Mandante,Brinco de Ouro,
2003.08.0094,11/05/2003,2003,8,Athletico-PR,Juventude,2,0,PR,RS,Mandante,Arena da Baixada,
2003.08.0095,11/05/2003,2003,8,Figueirense,São Caetano,3,0,SC,SP,Mandante,Orlando Scarpelli,
2003.08.0096,11/05/2003,2003,8,Grêmio,Coritiba,1,0,RS,PR,Mandante,Olímpico,
2003.09.0097,17/05/2003,2003,9,Fluminense,Figueirense,3,0,RJ,SC,Mandante,Maracanã,
2003.09.0098,17/05/2003,2003,9,São Caetano,Atlético-MG,2,0,SP,MG,Mandante,Anacleto Campanella,
2003.09.0099,17/05/2003,2003,9,Juventude,Santos,1,1,RS,SP,Empate,Alfredo Jaconi,
2003.09.0100,18/05/2003,2003,9,Bahia,Paysandu,2,0,BH,PA,Mandante,Fonte Nova,
2003.09.0101,18/05/2003,2003,9,Internacional,Athletico-PR,1,1,RS,PR,Empate,Beira-Rio,
2003.09.0102,18/05/2003,2003,9,Coritiba,Vasco,1,1,PR,RJ,Empate,Couto Pereira,
2003.09.0103,18/05/2003,2003,9,Cruzeiro,Corinthians,1,1,MG,SP,Empate,Mineirão,
2003.09.0104,18/05/2003,2003,9,Fortaleza,Goiás,1,0,CE,GO,Mandante,Castelão,
2003.09.0105,18/05/2003,2003,9,Ponte Preta,Grêmio,2,1,SP,RS,Mandante,Moisés Lucarelli,
2003.09.0106,18/05/2003,2003,9,Criciúma,Vitória,1,1,SC,BA,Empate,Heriberto Hulse,
2003.09.0107,18/05/2003,2003,9,Flamengo,Guarani,1,1,RJ,SP,Empate,Maracanã,
2003.09.0108,18/05/2003,2003,9,São Paulo,Paraná,2,0,SP,PR,Mandante,Morumbi,
2003.10.0109,24/05/2003,2003,10,Atlético-MG,Fluminense,3,0,MG,RJ,Mandante,Independência,
2003.10.0110,24/05/2003,2003,10,Paraná,São Caetano,1,1,PR,SP,Empate,Pinheirão,
2003.10.0111,24/05/2003,2003,10,Corinthians,Juventude,3,0,SP,RS,Mandante,Pacaembu,
2003.10.0112,24/05/2003,2003,10,Vasco,Ponte Preta,1,0,RJ,SP,Mandante,São Januário,
2003.10.0113,25/05/2003,2003,10,Athletico-PR,Flamengo,4,1,PR,RJ,Mandante,Arena da Baixada,
2003.10.0114,25/05/2003,2003,10,Paysandu,Coritiba,1,3,PA,PR,Visitante,Mangueirão,
2003.10.0115,25/05/2003,2003,10,Goiás,Criciúma,0,2,GO,SC,Visitante,Serra Dourada,
2003.10.0116,25/05/2003,2003,10,Grêmio,São Paulo,1,2,RS,SP,Visitante,Olímpico,
2003.10.0117,25/05/2003,2003,10,Guarani,Fortaleza,2,1,SP,CE,Mandante,Brinco de Ouro,
2003.10.0118,25/05/2003,2003,10,Figueirense,Bahia,1,0,SC,BH,Mandante,Orlando Scarpelli,
2003.10.0119,25/05/2003,2003,10,Vitória,Cruzeiro,2,1,ES,MG,Mandante,Barradão,
2003.10.0120,25/05/2003,2003,10,Santos,Internacional,2,1,SP,RS,Mandante,Vila Belmiro,
2003.11.0121,31/05/2003,2003,11,Fluminense,Athletico-PR,2,1,RJ,PR,Mandante,Edson Passos,
2003.11.0122,31/05/2003,2003,11,Cruzeiro,Criciúma,2,0,MG,SC,Mandante,Mineirão,
2003.11.0123,31/05/2003,2003,11,Coritiba,Guarani,3,2,PR,SP,Mandante,Couto Pereira,
2003.11.0124,31/05/2003,2003,11,Ponte Preta,São Caetano,0,0,SP,SP,Empate,Moisés Lucarelli,
2003.11.0125,31/05/2003,2003,11,Internacional,Paysandu,2,1,RS,PA,Mandante,Beira-Rio,
2003.11.0126,01/06/2003,2003,11,Paraná,Flamengo,6,2,PR,RJ,Mandante,Pinheirão,
2003.11.0127,01/06/2003,2003,11,Bahia,Goiás,2,1,BH,GO,Mandante,Fonte Nova,
2003.11.0128,01/06/2003,2003,11,Fortaleza,Juventude,3,1,CE,RS,Mandante,Castelão,
2003.11.0129,01/06/2003,2003,11,Figueirense,Grêmio,2,1,SC,RS,Mandante,Orlando Scarpelli,
2003.11.0130,01/06/2003,2003,11,Santos,São Paulo,3,2,SP,SP,Mandante,Vila Belmiro,
2003.11.0131,01/06/2003,2003,11,Corinthians,Vitória,4,0,SP,BA,Mandante,Pacaembu,
2003.11.0132,01/06/2003,2003,11,Vasco,Atlético-MG,2,2,RJ,MG,Empate,São Januário,
2003.12.0133,07/06/2003,2003,12,Vitória,Fluminense,2,1,ES,RJ,Mandante,Barradão,
2003.12.0134,07/06/2003,2003,12,Guarani,Santos,1,2,SP,SP,Visitante,Brinco de Ouro,
2003.12.0135,07/06/2003,2003,12,Grêmio,Fortaleza,3,1,RS,CE,Mandante,Olímpico,
2003.12.0136,07/06/2003,2003,12,Atlético-MG,Figueirense,1,1,MG,SC,Empate,Independência,
2003.12.0137,08/06/2003,2003,12,Paysandu,Paraná,3,0,PA,PR,Mandante,Mangueirão,
2003.12.0138,08/06/2003,2003,12,Juventude,Vasco,0,0,RS,RJ,Empate,Alfredo Jaconi,
2003.12.0139,08/06/2003,2003,12,Athletico-PR,Ponte Preta,4,2,PR,SP,Mandante,Arena da Baixada,
2003.12.0140,08/06/2003,2003,12,Goiás,Coritiba,1,2,GO,PR,Visitante,Serra Dourada,
2003.12.0141,08/06/2003,2003,12,São Caetano,Corinthians,1,0,SP,SP,Mandante,Anacleto Campanella,
2003.12.0142,08/06/2003,2003,12,Criciúma,Internacional,1,0,SC,RS,Mandante,Heriberto Hulse,
2003.12.0143,08/06/2003,2003,12,São Paulo,Bahia,2,2,SP,BH,Empate,Morumbi,
2003.13.0144,14/06/2003,2003,13,Fluminense,Goiás,2,3,RJ,GO,Visitante,Maracanã,
2003.13.0145,14/06/2003,2003,13,Ponte Preta,Guarani,0,2,SP,SP,Visitante,Moisés Lucarelli,
2003.13.0146,14/06/2003,2003,13,Coritiba,Athletico-PR,2,0,PR,PR,Mandante,Couto Pereira,
2003.13.0147,15/06/2003,2003,13,Corinthians,São Paulo,1,2,SP,SP,Visitante,Morumbi,
2003.13.0148,15/06/2003,2003,13,Fortaleza,Paysandu,1,2,CE,PA,Visitante,Presidente Vargas,
2003.13.0149,15/06/2003,2003,13,Paraná,Juventude,1,2,PR,RS,Visitante,Pinheirão,
2003.13.0150,15/06/2003,2003,13,Grêmio,Internacional,0,0,RS,RS,Empate,Olímpico,
2003.13.0151,15/06/2003,2003,13,Santos,São Caetano,0,1,SP,SP,Visitante,Vila Belmiro,
2003.13.0152,15/06/2003,2003,13,Criciúma,Figueirense,1,0,SC,SC,Mandante,Heriberto Hulse,
2003.13.0153,15/06/2003,2003,13,Bahia,Vitória,2,1,BH,BA,Mandante,Fonte Nova,
2003.13.0154,15/06/2003,2003,13,Vasco,Flamengo,1,2,RJ,RJ,Visitante,Maracanã,
2003.13.0155,15/06/2003,2003,13,Cruzeiro,Atlético-MG,0,0,MG,MG,Empate,Mineirão,
2003.12.0156,18/04/2003,2003,12,Flamengo,Cruzeiro,3,0,RJ,MG,Mandante,Maracanã,
2003.14.0157,19/06/2003,2003,14,Bahia,Coritiba,2,2,BH,PR,Empate,Fonte Nova,
2003.14.0158,21/06/2003,2003,14,Vasco,Criciúma,2,0,RJ,SC,Mandante,São Januário,
2003.14.0159,21/06/2003,2003,14,Atlético-MG,Grêmio,3,2,MG,RS,Mandante,Mineirão,
2003.14.0160,21/06/2003,2003,14,Internacional,Paraná,2,1,RS,PR,Mandante,Beira-Rio,
2003.14.0161,21/06/2003,2003,14,São Paulo,Goiás,1,0,SP,GO,Mandante,Morumbi,
2003.14.0162,22/06/2003,2003,14,Paysandu,Flamengo,2,2,PA,RJ,Empate,Mangueirão,
2003.14.0163,22/06/2003,2003,14,Ponte Preta,Corinthians,3,3,SP,SP,Empate,Moisés Lucarelli,
2003.14.0164,22/06/2003,2003,14,São Caetano,Vitória,2,1,SP,BA,Mandante,Anacleto Campanella,
2003.14.0165,22/06/2003,2003,14,Figueirense,Fortaleza,2,2,SC,CE,Empate,Orlando Scarpelli,
2003.14.0166,22/06/2003,2003,14,Juventude,Cruzeiro,0,1,RS,MG,Visitante,Alfredo Jaconi,
2003.14.0167,22/06/2003,2003,14,Fluminense,Guarani,5,2,RJ,SP,Mandante,Maracanã,
2003.15.0168,28/06/2003,2003,15,Fortaleza,Vasco,0,1,CE,RJ,Visitante,Castelão,
2003.15.0169,28/06/2003,2003,15,Coritiba,São Caetano,2,0,PR,SP,Mandante,Couto Pereira,
2003.15.0170,28/06/2003,2003,15,Grêmio,Juventude,1,4,RS,RS,Visitante,Olímpico,
2003.15.0171,28/06/2003,2003,15,Santos,Bahia,4,0,SP,BH,Mandante,Vila Belmiro,
2003.15.0172,28/06/2003,2003,15,Flamengo,Figueirense,0,2,RJ,SC,Visitante,Maracanã,
2003.15.0173,29/06/2003,2003,15,Corinthians,Fluminense,1,0,SP,RJ,Mandante,Pacaembu,
2003.15.0174,29/06/2003,2003,15,Guarani,São Paulo,0,1,SP,SP,Visitante,Brinco de Ouro,
2003.15.0175,29/06/2003,2003,15,Criciúma,Paysandu,2,0,SC,PA,Mandante,Heriberto Hulse,
2003.15.0176,29/06/2003,2003,15,Vitória,Athletico-PR,1,0,ES,PR,Mandante,Barradão,
2003.15.0177,29/06/2003,2003,15,Cruzeiro,Internacional,3,2,MG,RS,Mandante,Mineirão,
2003.15.0178,29/06/2003,2003,15,Paraná,Atlético-MG,1,1,PR,MG,Empate,Pinheirão,
2003.16.0179,05/07/2003,2003,16,Vasco,Paraná,1,4,RJ,PR,Visitante,São Januário,
2003.16.0180,05/07/2003,2003,16,São Paulo,São Caetano,1,1,SP,SP,Empate,Morumbi,
2003.16.0181,05/07/2003,2003,16,Figueirense,Cruzeiro,1,0,SC,MG,Mandante,Orlando Scarpelli,
2003.16.0182,05/07/2003,2003,16,Atlético-MG,Paysandu,3,2,MG,PA,Mandante,Independência,
2003.16.0183,06/07/2003,2003,16,Grêmio,Flamengo,2,0,RS,RJ,Mandante,Olímpico,
2003.16.0184,06/07/2003,2003,16,Guarani,Goiás,3,2,SP,GO,Mandante,Brinco de Ouro,
2003.16.0185,06/07/2003,2003,16,Athletico-PR,Corinthians,3,1,PR,SP,Mandante,Arena da Baixada,
2003.16.0186,06/07/2003,2003,16,Juventude,Internacional,1,1,RS,RS,Empate,Alfredo Jaconi,
2003.16.0187,06/07/2003,2003,16,Fortaleza,Criciúma,0,1,CE,SC,Visitante,Presidente Vargas,
2003.16.0188,06/07/2003,2003,16,Vitória,Ponte Preta,1,4,ES,SP,Visitante,Barradão,
2003.16.0189,06/07/2003,2003,16,Santos,Coritiba,3,1,SP,PR,Mandante,Vila Belmiro,
2003.16.0190,06/07/2003,2003,16,Fluminense,Bahia,1,0,RJ,BH,Mandante,Maracanã,
2003.17.0191,09/07/2003,2003,17,São Caetano,Athletico-PR,0,0,SP,PR,Empate,Anacleto Campanella,
2003.17.0192,09/07/2003,2003,17,Corinthians,Santos,1,1,SP,SP,Empate,Morumbi,
2003.17.0193,09/07/2003,2003,17,Cruzeiro,Fortaleza,2,0,MG,CE,Mandante,Mineirão,
2003.17.0194,09/07/2003,2003,17,Bahia,Guarani,2,0,BH,SP,Mandante,Fonte Nova,
2003.17.0195,09/07/2003,2003,17,Paysandu,Figueirense,1,0,PA,SC,Mandante,Mangueirão,
2003.17.0196,09/07/2003,2003,17,Goiás,Vitória,1,1,GO,BA,Empate,Serra Dourada,
2003.17.0197,09/07/2003,2003,17,Flamengo,Juventude,2,1,RJ,RS,Mandante,Maracanã,
2003.17.0198,09/07/2003,2003,17,Internacional,Vasco,2,1,RS,RJ,Mandante,Beira-Rio,
2003.17.0199,09/07/2003,2003,17,Coritiba,São Paulo,0,2,PR,SP,Visitante,Couto Pereira,
2003.17.0200,10/07/2003,2003,17,Ponte Preta,Fluminense,3,0,SP,RJ,Mandante,Moisés Lucarelli,
2003.17.0201,10/07/2003,2003,17,Criciúma,Atlético-MG,1,0,SC,MG,Mandante,Heriberto Hulse,
2003.17.0202,10/07/2003,2003,17,Paraná,Grêmio,3,1,PR,RS,Mandante,Pinheirão,
2003.18.0203,12/07/2003,2003,18,Athletico-PR,Goiás,0,0,PR,GO,Empate,Arena da Baixada,
2003.18.0204,12/07/2003,2003,18,Fortaleza,Internacional,3,0,CE,RS,Mandante,Castelão,
2003.18.0205,12/07/2003,2003,18,Vasco,Paysandu,0,2,RJ,PA,Visitante,São Januário,
2003.18.0206,13/07/2003,2003,18,Atlético-MG,Flamengo,1,0,MG,RJ,Mandante,Mineirão,
2003.18.0207,13/07/2003,2003,18,Ponte Preta,Bahia,1,0,SP,BH,Mandante,Moisés Lucarelli,
2003.18.0208,13/07/2003,2003,18,Corinthians,Coritiba,0,1,SP,PR,Visitante,Morumbi,
2003.18.0209,13/07/2003,2003,18,Criciúma,Juventude,3,0,SC,RS,Mandante,Heriberto Hulse,
2003.18.0210,13/07/2003,2003,18,Figueirense,Paraná,4,2,SC,PR,Mandante,Orlando Scarpelli,
2003.18.0211,13/07/2003,2003,18,São Caetano,Guarani,0,2,SP,SP,Visitante,Anacleto Campanella,
2003.18.0212,13/07/2003,2003,18,Fluminense,São Paulo,1,3,RJ,SP,Visitante,Maracanã,
2003.18.0213,13/07/2003,2003,18,Grêmio,Cruzeiro,0,1,RS,MG,Visitante,Olímpico,
2003.18.0214,13/07/2003,2003,18,Vitória,Santos,2,0,ES,SP,Mandante,Barradão,
2003.19.0215,16/07/2003,2003,19,Flamengo,Fortaleza,0,2,RJ,CE,Visitante,Maracanã,
2003.19.0216,16/07/2003,2003,19,Juventude,Figueirense,1,2,RS,SC,Visitante,Alfredo Jaconi,
2003.19.0217,16/07/2003,2003,19,Bahia,São Caetano,0,0,BH,SP,Empate,Fonte Nova,
2003.19.0218,16/07/2003,2003,19,Coritiba,Fluminense,3,0,PR,RJ,Mandante,Couto Pereira,
2003.19.0219,16/07/2003,2003,19,Guarani,Vitória,2,2,SP,BA,Empate,Brinco de Ouro,
2003.19.0220,16/07/2003,2003,19,Internacional,Atlético-MG,3,3,RS,MG,Empate,Beira-Rio,
2003.19.0221,16/07/2003,2003,19,Santos,Ponte Preta,2,1,SP,SP,Mandante,Vila Belmiro,
2003.19.0222,16/07/2003,2003,19,Cruzeiro,Vasco,4,1,MG,RJ,Mandante,Mineirão,
2003.19.0223,16/07/2003,2003,19,Goiás,Corinthians,1,1,GO,SP,Empate,Serra Dourada,
2003.19.0224,17/07/2003,2003,19,Paysandu,Grêmio,1,1,PA,RS,Empate,Mangueirão,
2003.19.0225,17/07/2003,2003,19,São Paulo,Athletico-PR,2,0,SP,PR,Mandante,Morumbi,
2003.20.0226,19/07/2003,2003,20,Fluminense,Santos,1,4,RJ,SP,Visitante,Giulite Coutinho,
2003.20.0227,19/07/2003,2003,20,Corinthians,Guarani,1,0,SP,SP,Mandante,Pacaembu,
2003.20.0228,19/07/2003,2003,20,Fortaleza,Atlético-MG,4,3,CE,MG,Mandante,Castelão,
2003.20.0229,19/07/2003,2003,20,Internacional,Figueirense,3,0,RS,SC,Mandante,Beira-Rio,
2003.20.0230,20/07/2003,2003,20,Juventude,Paysandu,2,0,RS,PA,Mandante,Alfredo Jaconi,
2003.20.0231,20/07/2003,2003,20,Athletico-PR,Bahia,2,1,PR,BH,Mandante,Arena da Baixada,
2003.20.0232,20/07/2003,2003,20,Ponte Preta,Coritiba,1,1,SP,PR,Empate,Moisés Lucarelli,
2003.20.0233,20/07/2003,2003,20,Criciúma,Flamengo,4,3,SC,RJ,Mandante,Heriberto Hulse,
2003.20.0234,20/07/2003,2003,20,Goiás,São Caetano,2,1,GO,SP,Mandante,Serra Dourada,
2003.20.0235,20/07/2003,2003,20,Vitória,São Paulo,0,2,ES,SP,Visitante,Barradão,
2003.20.0236,20/07/2003,2003,20,Cruzeiro,Paraná,5,1,MG,PR,Mandante,Mineirão,
2003.20.0237,20/07/2003,2003,20,Vasco,Grêmio,2,0,RJ,RS,Mandante,São Januário,
2003.21.0238,23/07/2003,2003,21,Paraná,Fortaleza,4,1,PR,CE,Mandante,Pinheirão,
2003.21.0239,23/07/2003,2003,21,Atlético-MG,Juventude,2,1,MG,RS,Mandante,Mineirão,
2003.21.0240,23/07/2003,2003,21,Paysandu,Cruzeiro,3,0,PA,MG,Mandante,Mangueirão,
2003.21.0241,23/07/2003,2003,21,Guarani,Athletico-PR,1,0,SP,PR,Mandante,Brinco de Ouro,
2003.21.0242,23/07/2003,2003,21,Figueirense,Vasco,0,0,SC,RJ,Empate,Orlando Scarpelli,
2003.21.0243,23/07/2003,2003,21,Santos,Goiás,3,3,SP,GO,Empate,Vila Belmiro,
2003.21.0244,23/07/2003,2003,21,Bahia,Corinthians,0,0,BH,SP,Empate,Fonte Nova,
2003.21.0245,24/07/2003,2003,21,Coritiba,Vitória,1,1,PR,BA,Empate,Couto Pereira,
2003.21.0246,24/07/2003,2003,21,Grêmio,Criciúma,0,2,RS,SC,Visitante,Olímpico,
2003.21.0247,24/07/2003,2003,21,Flamengo,Internacional,2,1,RJ,RS,Mandante,Maracanã,
2003.21.0248,24/07/2003,2003,21,São Caetano,Fluminense,2,0,SP,RJ,Mandante,Anacleto Campanella,
2003.21.0249,24/07/2003,2003,21,São Paulo,Ponte Preta,1,2,SP,SP,Visitante,Morumbi,
2003.22.0250,26/07/2003,2003,22,Santos,Vasco,2,1,SP,RJ,Mandante,Vila Belmiro,
